year,nameplate_cap,summer_cap,num_facilities,num_generators,state,tot_nameplate_cap,tot_summer_cap,tot_num_gen,tot_num_facilities,tot_cap_change,tot_cap_growth_rate,p_nameplate_cap,p_summer_cap,cap_change,cap_growth_rate,energy_source
1992,1999.6,1995.8,39,0,GA,24276.6,22406.9,0,113,329.2999999999993,1.35645024426814,0.08236738258240446,0.08907077730520509,8.299999999999955,0.004150830166033184,Hydroelectric
1993,1998.6,2042,38,0,GA,24228.1,22519.1,0,114,-48.5,-0.2001807818194576,0.08249099186481812,0.0906785795169434,-1,-5.003502451716202e-4,Hydroelectric
1994,1999.6,2043,39,0,GA,25143.5,23432.4,0,140,915.4000000000015,3.6407023684053588,0.07952751208065703,0.08718697188508219,1,5.001000200040008e-4,Hydroelectric
1995,2189.5,2223.1,38,0,GA,25948.8,23675.3,0,138,805.2999999999993,3.1034190405722013,0.08437769761992847,0.09389954931933281,189.9000000000001,0.08673213062343005,Hydroelectric
1996,2189.5,2265.9,38,0,GA,25693.3,24192.6,0,139,-255.5,-0.9944226705016483,0.08521676857390838,0.09366087150616305,0,0,Hydroelectric
1997,2207.3,2350.5,39,0,GA,26492.1,24853.8,0,137,798.7999999999993,3.0152385050637713,0.083319178170096,0.09457306327402651,17.800000000000182,0.008064150772436995,Hydroelectric
1998,2215.7,2346.8,38,0,GA,26487,25085.4,0,131,-5.099999999998545,-0.019254728734845565,0.08365235776041076,0.09355242491648529,8.399999999999636,0.0037911269576204527,Hydroelectric
1999,2215.7,2376.3,38,0,GA,26666.2,24988.1,0,131,179.20000000000073,0.6720117602058063,0.08309020407857137,0.09509726629875823,0,0,Hydroelectric
2000,2215,2341,37,0,GA,29427,27756,0,133,2760.7999999999993,9.381860196418252,0.07527100961701838,0.08434212422539271,-0.6999999999998181,-3.1602708803603525e-4,Hydroelectric
2001,2216,2341,35,0,GA,31605,29482,0,134,2178,6.891314665401044,0.07011548805568739,0.07940438233498406,1,4.512635379061372e-4,Hydroelectric
2002,2216,2325,35,0,GA,37176,34601,0,139,5571,14.985474499677212,0.059608349472778134,0.06719458975174128,0,0,Hydroelectric
2003,2016,2109,32,0,GA,37626,34815,0,135,450,1.1959815021527667,0.05357997129644395,0.06057733735458854,-200,-0.0992063492063492,Hydroelectric
2004,1931,2012,32,0,GA,38498,35338,0,134,872,2.265052730011949,0.05015844978959946,0.05693587639368385,-85,-0.044018643190056966,Hydroelectric
2005,1932,2014,32,0,GA,39792,36531,0,134,1294,3.2519099316445517,0.0485524728588661,0.0551312583832909,1,5.175983436853002e-4,Hydroelectric
2006,1932,2027,32,0,GA,39758,36499,0,131,-34,-0.08551738014990694,0.048593993661653,0.055535768103235704,0,0,Hydroelectric
2007,1932,2032,32,0,GA,39767,36472,0,133,9,0.022631830412150777,0.048582995951417005,0.05571397236236017,0,0,Hydroelectric
2008,1932,2041,32,0,GA,39641,36456,0,131,-126,-0.3178527282359173,0.04873741832950733,0.05598529734474435,0,0,Hydroelectric
2009,1932,2046,32,0,GA,39639,36549,0,130,-2,-0.005045535962057569,0.04873987739347612,0.05597964376590331,0,0,Hydroelectric
2010,1932,2052,32,0,GA,39665,36636,0,132,26,0.06554897264590949,0.04870792890457582,0.05601048149361284,0,0,Hydroelectric
2011,1929.6,2048.7,31,0,GA,40208.1,37114.2,0,117,543.0999999999985,1.3507228642984834,0.047990330306580016,0.05519989653555782,-2.400000000000091,-0.0012437810945274104,Hydroelectric
2012,1926.8,2047.9,30,0,GA,41554.1,38488.1,0,120,1346,3.2391508900445447,0.04636846905600169,0.053208654103476145,-2.7999999999999545,-0.0014531866306829741,Hydroelectric
2013,1926.8,2044.9,30,0,GA,41265.3,38210.3,0,125,-288.79999999999563,-0.6998616270813386,0.046692984177989734,0.05351698364053671,0,0,Hydroelectric
2014,1926.8,2047.6,30,0,GA,41272.4,38249.7,0,129,7.099999999998545,0.017202779581508572,0.046684951686841565,0.05353244600611247,0,0,Hydroelectric
2015,1964.8,2047.5,30,0,GA,39045.2,36302.6,0,135,-2227.2000000000044,-5.704158257609142,0.05032116623810353,0.056400918942444894,38,0.01934039087947883,Hydroelectric
2016,2175.8,2275.1,33,0,GA,39753,37077.5,0,158,707.8000000000029,1.7804945538701555,0.05473297612758786,0.06136066347515339,211.00000000000023,0.09697582498391406,Hydroelectric
2017,2175.8,2275.1,33,0,GA,39829.7,37097.3,0,161,76.69999999999709,0.19256986620536207,0.05462757690868875,0.061327913352184654,0,0,Hydroelectric
2018,1963.2,2047.2,30,0,GA,39657.4,36988.6,0,164,-172.29999999999563,-0.4344712462238967,0.04950400177520463,0.05534678252218252,-212.60000000000014,-0.10829258353708238,Hydroelectric
1991,231.2,209.8,16,0,GA,23947.3,21730.8,0,97,1645.5999999999985,6.871755897324536,0.009654533078885719,0.009654499604248348,-25.19999999999999,-0.1089965397923875,Natural Gas
1992,230.7,209.4,18,0,GA,24276.6,22406.9,0,113,329.2999999999993,1.35645024426814,0.009502978176515657,0.009345335588591014,-0.5,-0.002167316861725184,Natural Gas
1993,512.1,466.8,18,0,GA,24228.1,22519.1,0,114,-48.5,-0.2001807818194576,0.02113661409685448,0.0207290699894756,281.40000000000003,0.549502050380785,Natural Gas
1994,1357.3,1256.7,24,0,GA,25143.5,23432.4,0,140,915.4000000000015,3.6407023684053588,0.0539821425020383,0.05363087007732883,845.1999999999999,0.6227068444706402,Natural Gas
1995,1826.1,1689.4,24,0,GA,25948.8,23675.3,0,138,805.2999999999993,3.1034190405722013,0.07037319644839067,0.07135706833704325,468.79999999999995,0.25672197579541095,Natural Gas
1996,1829.3,1694.5,24,0,GA,25693.3,24192.6,0,139,-255.5,-0.9944226705016483,0.07119754955572075,0.07004207898282946,3.2000000000000455,0.0017493030120811488,Natural Gas
1997,2203.4,2019.9,26,0,GA,26492.1,24853.8,0,137,798.7999999999993,3.0152385050637713,0.08317196447242764,0.08127127441276587,374.10000000000014,0.1697830625397114,Natural Gas
1998,2150.2,1965.7,24,0,GA,26487,25085.4,0,131,-5.099999999998545,-0.019254728734845565,0.0811794465209348,0.07836032114297559,-53.20000000000027,-0.02474188447586284,Natural Gas
1999,2440.1,2237.3,24,0,GA,26666.2,24988.1,0,131,179.20000000000073,0.6720117602058063,0.09150535134364851,0.08953461847839572,289.9000000000001,0.11880660628662763,Natural Gas
2000,4953,4426,31,0,GA,29427,27756,0,133,2760.7999999999993,9.381860196418252,0.16831481292690387,0.15946101743767113,2512.9,0.5073490813648294,Natural Gas
2001,7336,6446,31,0,GA,31605,29482,0,134,2178,6.891314665401044,0.23211517165005538,0.2186418831829591,2383,0.32483642311886585,Natural Gas
2002,12534,11184,35,0,GA,37176,34601,0,139,5571,14.985474499677212,0.33715300193673337,0.323227652379989,5198,0.41471198340513804,Natural Gas
2003,13387,11804,34,0,GA,37626,34815,0,135,450,1.1959815021527667,0.3557912082070908,0.3390492603762746,853,0.06371853290505715,Natural Gas
2004,14295,12353,35,0,GA,38498,35338,0,134,872,2.265052730011949,0.3713179905449634,0.34956703831569413,908,0.06351871283665618,Natural Gas
2005,14489,12633,34,0,GA,39792,36531,0,134,1294,3.2519099316445517,0.3641184157619622,0.3458158824012483,194,0.013389467872178894,Natural Gas
2006,14487,12618,33,0,GA,39758,36499,0,131,-34,-0.08551738014990694,0.3643794959505005,0.3457081015918244,-2,-1.380548077586802e-4,Natural Gas
2007,14487,12652,33,0,GA,39767,36472,0,133,9,0.022631830412150777,0.36429703020092036,0.3468962491774512,0,0,Natural Gas
2008,14369,12635,33,0,GA,39641,36456,0,131,-126,-0.3178527282359173,0.36247824222396,0.3465821812596006,-118,-0.008212123321038347,Natural Gas
2009,14366,12705,32,0,GA,39639,36549,0,130,-2,-0.005045535962057569,0.36242084815459524,0.3476155298366576,-3,-2.0882639565641096e-4,Natural Gas
2010,14354,12668,31,0,GA,39665,36636,0,132,26,0.06554897264590949,0.3618807512920711,0.34578010699858064,-12,-8.360039013515396e-4,Natural Gas
2011,16292.8,14262.7,32,0,GA,40208.1,37114.2,0,117,543.0999999999985,1.3507228642984834,0.4052118851674165,0.3842922654940697,1938.7999999999993,0.1189973485220465,Natural Gas
2012,17972.8,15907.9,32,0,GA,41554.1,38488.1,0,120,1346,3.2391508900445447,0.43251568437290183,0.41331996123477127,1680,0.0934745838155435,Natural Gas
2013,17955.5,15875.9,32,0,GA,41265.3,38210.3,0,125,-288.79999999999563,-0.6998616270813386,0.43512345723889073,0.4154874471019594,-17.299999999999272,-9.634930801146875e-4,Natural Gas
